No,Nama Satker,Nomor Rekening,Nama Rekening,Tanggal Transaksi Terakhir,Saldo Akhir,Saldo Telah Menjadi Hak Negara,Saldo Rekening Antara untuk menampung pembayaran dari negara,Saldo Belum/tidak menjadi hak negara
1,LANUD SURABAYA,651663448401000,BPN 135 LANUD SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
2,BPFK SURABAYA,1420004582184,BPN 135 BPFK SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
3,ASRAMA HAJI SURABAYA,1420014638422,BPN 135 ASRAMA HAJI SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
4,BKIPMKHP KELAS I SURABAYA II,032801001198309,BPN 135 BKIPMKHP KELAS I SURABAYA II,31/01/2024,0.00, 251.186.994.059.21, , 
5, DITLANTAS POLDA JATIM,8100126439411000,BPN 135 DITLANTAS POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
6,DITLANTAS POLDA JATIM,00000000960100161,BPN 135 DITLANTAS POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
7,POLRESTABES SURABAYA,021101000651305,BPN 135 POLRESTABES SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
8,POLRESTABES SURABAYA,009601004717305,BPN 135 POLRESTABES SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
9,DITINTELKAM POLDA JATIM,8100126439161000,BPN 135 DITINTELKAM POLDA JATIM,31/01/2024,449.000.00, 251.186.994.059.21, , 
10, POLRES GRESIK,002601000586303,BPN 135 POLRES GRESIK,31/01/2024,0.00, 251.186.994.059.21, , 
11,POLRES GRESIK,9898986444590000,BPN 136 POLRES GRESIK,31/01/2024,0.00, 251.186.994.059.21, , 
12,DITPAMOBVIT POLDA JATIM,588773594,BPN 135 DITPAMOBVIT POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
13,POLRES PELABUHAN TANJUNG PERAK,032801002678302,BPN 135 POLRES PELABUHAN TANJUNG PERAK,31/01/2024,0.00, 251.186.994.059.21, , 
14,DITINTELKAM POLDA JATIM,9601003646307,BPN 135 DITINTELKAM POLDA JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
15,BARISTAND INDUSTRI SBY,186168018,BPn 135 BARISTAND INDUSTRI SBY,31/01/2024,0.00, 251.186.994.059.21, , 
16, PT SBY 098104,653240981041000,BPG 135 PT SBY 098104,31/01/2024,0.00, 251.186.994.059.21, , 
17,PN SURABAYA,653240981111000,BPG 135 PN SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
18,PENGADILAN NEGERI GRESIK 01,653240981501000,BPG 135 PENGADILAN NEGERI GRESIK 01,31/01/2024,0.00, 251.186.994.059.21, , 
19, PENGADILAN NEGERI GRESIK 03,654440991381000,BPG 135 PENGADILAN NEGERI GRESIK 03,31/01/2024,0.00, 251.186.994.059.21, , 
20, PT SBY 099132,654440991321000,BPG 135 PT SBY 099132,31/01/2024,0.00, 251.186.994.059.21, , 
21,PN SURABAYA,39301300002044,BPG 135 PN SURABAYA,31/01/2024,0.00, 251.186.994.059.21, , 
22,PTA SURABAYA QQ 01,653243081701000,BPG 135 PTA SURABAYA QQ 01,31/01/2024,0.00, 251.186.994.059.21, , 
23, PTA SURABAYA QQ 04,651543091251000,BPG 135 PTA SURABAYA QQ 04,31/01/2024,0.00, 251.186.994.059.21, , 
24,PENGADILAN AGAMA SURABAYA QQ 01,653244012401000,BPG 135 PENGADILAN AGAMA SURABAYA QQ 01,31/01/2024,0.00, 251.186.994.059.21, , 
25,PENGADILAN AGAMA SURABAYA QQ 04,653194012411000,BPG 135 PENGADILAN AGAMA SURABAYA QQ 04,31/01/2024,0.00, 251.186.994.059.21, , 
26,PENGADILAN AGAMA BAWEAN 01,653254012871000,BPG 135 PENGADILAN AGAMA BAWEAN 01,31/01/2024,0.00, 251.186.994.059.21, , 
27,PENGADILAN AGAMA BAWEAN 04,651544012881000,BPG 135 PENGADILAN AGAMA BAWEAN 04,31/01/2024,0.00, 251.186.994.059.21, , 
28,PENGADILAN AGAMA GRESIK,653244012931000,BPG 135 PENGADILAN AGAMA GRESIK,31/01/2024,0.00, 251.186.994.059.21, , 
29,PENGADILAN AGAMA GRESIK 04,651544012941000,BPG 135 PENGADILAN AGAMA GRESIK 04,31/01/2024,0.00, 251.186.994.059.21, , 
30,PT TUN SBY 01,653255489401000,BPG 135 PT TUN SBY 01,31/01/2024,0.00, 251.186.994.059.21, , 
31,PT TUN SBY 05,00000000772774770,BPG 135 PT TUN SBY 05,31/01/2024,0.00, 251.186.994.059.21, , 
32, PM TINGGI III SBY,653246633001000,BPG 135 PM TINGGI III SBY,31/01/2024,0.00, 251.186.994.059.21, , 
33, PM TINGGI III SBY,651556633011000,BPG 135 PM TINGGI III SBY,31/01/2024,0.00, 251.186.994.059.21, , 
34, DILMIL III 12 SBY,653256633141000,BPG 135 DILMIL III 12 SBY,31/01/2024,0.00, 251.186.994.059.21, , 
35, DILMIL III 12 SBY,651556633151000,BPG 135 DILMIL III 12 SBY,31/01/2024,0.00, 251.186.994.059.21, , 
36, SETDA JATIM 04,0011204619,BPG 135 SETDA JATIM 04,31/01/2024,0.00, 251.186.994.059.21, , 
37,DINAS PMPTSP JATIM,9890244841531000,BPG 135 DINAS PMPTSP JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
38, BAPPEDA PROV JATIM,9890244841541000  ,BPG 135 BAPPEDA PROV JATIM,31/01/2024,0.00, 251.186.994.059.21, , 
39, DENMADAM V/BRW,652843442591000,BPG 135 DENMADAM V/BRW,31/01/2024,0.00, 251.186.994.059.21, , 
40, ZIDAM V/BRAWIJAYA,652813442641000,BPG 135 ZIDAM V/BRAWIJAYA,31/01/2024,34.140.000.00, 251.186.994.059.21, , 
41,BEKANGDAM V/BRAW IJAYA,652813442651000,BPG 135 BEKANGDAM V/BRAW IJAYA,31/01/2024,60.000.000.00, 251.186.994.059.21, , 
42, PALDAM V/BRAW IJAYA,652813442661000,BPG 135 PALDAM V/BRAW IJAYA,31/01/2024,0.00, 251.186.994.059.21, , 
