No,Nama Satker,Nomor Rekening,Nama Rekening,Tanggal Transaksi Terakhir,Saldo Akhir,Saldo Telah Menjadi Hak Negara,Saldo Rekening Antara untuk menampung pembayaran dari negara,Saldo Belum/tidak menjadi hak negara
1.0,LANUD SURABAYA,651663448401000,BPN 135 LANUD SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
2.0,BPFK SURABAYA,1420004582184,BPN 135 BPFK SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
3.0,ASRAMA HAJI SURABAYA,1420014638422,BPN 135 ASRAMA HAJI SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
4.0,BKIPMKHP KELAS I SURABAYA II,032801001198309,BPN 135 BKIPMKHP KELAS I SURABAYA II,31/01/2024,0.0,25118699405921.0,0.0,0.0
5.0, DITLANTAS POLDA JATIM,8100126439411000,BPN 135 DITLANTAS POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
6.0,DITLANTAS POLDA JATIM,00000000960100161,BPN 135 DITLANTAS POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
7.0,POLRESTABES SURABAYA,021101000651305,BPN 135 POLRESTABES SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
8.0,POLRESTABES SURABAYA,009601004717305,BPN 135 POLRESTABES SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
9.0,DITINTELKAM POLDA JATIM,8100126439161000,BPN 135 DITINTELKAM POLDA JATIM,31/01/2024,44900000.0,25118699405921.0,0.0,0.0
10.0, POLRES GRESIK,002601000586303,BPN 135 POLRES GRESIK,31/01/2024,0.0,25118699405921.0,0.0,0.0
11.0,POLRES GRESIK,9898986444590000,BPN 136 POLRES GRESIK,31/01/2024,0.0,25118699405921.0,0.0,0.0
12.0,DITPAMOBVIT POLDA JATIM,588773594,BPN 135 DITPAMOBVIT POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
13.0,POLRES PELABUHAN TANJUNG PERAK,032801002678302,BPN 135 POLRES PELABUHAN TANJUNG PERAK,31/01/2024,0.0,25118699405921.0,0.0,0.0
14.0,DITINTELKAM POLDA JATIM,9601003646307,BPN 135 DITINTELKAM POLDA JATIM,31/01/2024,0.0,25118699405921.0,0.0,0.0
15.0,BARISTAND INDUSTRI SBY,186168018,BPn 135 BARISTAND INDUSTRI SBY,31/01/2024,0.0,25118699405921.0,0.0,0.0
16.0, PT SBY 098104,653240981041000,BPG 135 PT SBY 098104,31/01/2024,0.0,25118699405921.0,0.0,0.0
17.0,PN SURABAYA,653240981111000,BPG 135 PN SURABAYA,31/01/2024,0.0,25118699405921.0,0.0,0.0
18.0,PENGADILAN NEGERI GRESIK 01,653240981501000,BPG 135 PENGADILAN NEGERI GRESIK 01,31/01/2024,0.0,25118699405921.0,0.0,0.0
